t=2026-03-24T17:40:50-0300 lvl=info msg="no configuration paths supplied"
t=2026-03-24T17:40:50-0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\Owner\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-03-24T17:40:50-0300 lvl=info msg="open config file" path=C:\\Users\\Owner\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-03-24T17:40:50-0300 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-03-24T17:40:50-0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=631a61dfc932 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=c82630dda7e4 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=94739ac2a81b l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=1ca509f991b4 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=bdd6cd4b43c6 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=4937ee4c127f l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=3401b1636d3e l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=b0a648edc3df l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=5dae63fa6fa8 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=6ec7d1465310 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=fc3665b89501 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=8022114a3b95 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=16ea65561210 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=a37de89f7167 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=c6ffa939848e l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=c84fd49f8805 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=602342793905 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=def118d79616 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=b53784d2e492 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=333e0e19166a l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=f8006b1d0560 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=678a3a1cef45 l=127.0.0.1:3000 r=181.46.138.67:2838
